Date,EUR/USD Close,USD/CHF Close,USD/CAD Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,CHF/JPY Close,NZD/USD Close
1/1/14,1.3745,0.8927,1.0614,144.62,1.2271,0.8919,117.9,0.8217
1/2/14,1.3655,0.9004,1.0668,143.032,1.2295,0.8909,116.311,0.8184
1/3/14,1.3587,0.9051,1.0628,142.34,1.23,0.8959,115.706,0.828
1/6/14,1.3634,0.9035,1.0652,142.087,1.2319,0.8962,115.32,0.829
1/7/14,1.3614,0.909,1.0774,142.293,1.2376,0.8915,114.96,0.8284
1/8/14,1.3581,0.91,1.0803,142.26,1.2366,0.8912,115.03,0.8265
1/9/14,1.3607,0.9067,1.0853,142.55,1.2339,0.8891,115.51,0.8252
1/10/14,1.3665,0.9029,1.0892,142.23,1.2339,0.9002,115.24,0.8303
1/13/14,1.3668,0.8994,1.0855,140.704,1.2295,0.9056,114.435,0.8366
1/14/14,1.3681,0.9021,1.0946,142.53,1.2343,0.8962,115.44,0.8378
1/15/14,1.3604,0.9084,1.094,142.24,1.2361,0.8911,115.04,0.8334
1/16/14,1.3617,0.9049,1.0923,142.014,1.2318,0.8816,115.242,0.8348
1/17/14,1.3524,0.9112,1.0974,141.024,1.2326,0.8774,114.403,0.8257
1/20/14,1.3562,0.9092,1.0958,141.179,1.2331,0.8802,114.469,0.8262
1/21/14,1.3558,0.9104,1.0973,141.458,1.2344,0.881,114.589,0.8315
1/22/14,1.3548,0.9112,1.1075,141.458,1.2346,0.8854,114.552,0.8312
1/23/14,1.3694,0.8972,1.1106,141.28,1.2289,0.8759,114.953,0.8299
1/24/14,1.368,0.8943,1.1071,139.839,1.2235,0.8697,114.29,0.8246
1/27/14,1.3672,0.8968,1.11,140.417,1.2264,0.8753,114.468,0.8244
1/28/14,1.3666,0.8976,1.1157,140.591,1.2268,0.8772,114.58,0.8268
1/29/14,1.3661,0.8944,1.1167,139.544,1.222,0.8728,114.18,0.8195
1/30/14,1.355,0.9033,1.1166,139.186,1.2241,0.8784,113.698,0.8144
1/31/14,1.3487,0.9065,1.1135,137.77,1.2224,0.8745,112.672,0.8076
2/3/14,1.3531,0.901,1.1094,136.699,1.2192,0.8754,112.105,0.8092
2/4/14,1.3515,0.904,1.107,137.386,1.2221,0.8937,112.411,0.8208
2/5/14,1.3531,0.9037,1.1079,137.2,1.2229,0.891,112.168,0.8212
2/6/14,1.3588,0.9007,1.1064,138.76,1.224,0.8962,113.34,0.8255
2/7/14,1.3638,0.8972,1.1039,139.481,1.2237,0.896,113.967,0.8292
2/10/14,1.3634,0.8972,1.1052,139.371,1.2232,0.8941,113.928,0.8263
2/11/14,1.3637,0.8983,1.1013,139.93,1.2251,0.9039,114.221,0.8325
2/12/14,1.3592,0.9005,1.0997,139.277,1.224,0.9029,113.776,0.8312
2/13/14,1.368,0.8938,1.0976,139.881,1.2227,0.8985,114.37,0.835
2/14/14,1.3697,0.8915,1.0984,139.494,1.2215,0.9033,114.186,0.8365
2/17/14,1.3708,0.8914,1.0956,139.65,1.222,0.9036,114.279,0.8366
2/18/14,1.3757,0.8881,1.0945,140.778,1.2218,0.9035,115.21,0.8306
2/19/14,1.3733,0.8879,1.1083,140.42,1.2196,0.8998,115.11,0.8272
2/20/14,1.372,0.8892,1.1098,140.386,1.2201,0.9014,115.041,0.8308
2/21/14,1.374,0.8872,1.1122,140.911,1.2192,0.897,115.579,0.8281
2/24/14,1.3734,0.8887,1.1062,140.721,1.2206,0.9035,115.266,0.8329
2/25/14,1.3742,0.887,1.1085,140.298,1.2188,0.9013,115.081,0.8325
2/26/14,1.3685,0.8907,1.1119,140.124,1.2191,0.896,114.923,0.8306
2/27/14,1.3707,0.888,1.1141,139.92,1.2178,0.8958,114.879,0.8363
2/28/14,1.3806,0.879,1.1075,140.524,1.2136,0.8919,115.782,0.8383
3/3/14,1.3729,0.8831,1.108,139.181,1.2128,0.8927,114.75,0.8363
3/4/14,1.3738,0.8873,1.1103,140.508,1.2191,0.895,115.2,0.8389
3/5/14,1.3732,0.8874,1.1037,140.459,1.2186,0.8985,115.23,0.8418
3/6/14,1.3859,0.8804,1.0984,142.814,1.2201,0.9091,117.031,0.8479
3/7/14,1.3869,0.8777,1.1093,143.236,1.2174,0.9066,117.646,0.846
3/10/14,1.3869,0.8781,1.1098,143.186,1.218,0.9018,117.54,0.8464
3/11/14,1.3864,0.8774,1.1104,142.73,1.2169,0.8972,117.286,0.8468
3/12/14,1.3906,0.8735,1.1119,142.71,1.2151,0.8982,117.444,0.8461
3/13/14,1.3859,0.8749,1.1056,140.839,1.2126,0.902,116.149,0.8534
3/14/14,1.3908,0.8726,1.1092,140.91,1.2136,0.9024,116.1,0.8531
3/17/14,1.3923,0.873,1.1058,141.65,1.2156,0.9086,116.51,0.8566
3/18/14,1.3934,0.8731,1.1139,141.282,1.2166,0.9127,116.109,0.8626
3/19/14,1.3829,0.8811,1.1244,141.77,1.2186,0.9031,116.32,0.8543
3/20/14,1.3775,0.884,1.1242,141.06,1.2178,0.9036,115.83,0.8529
3/21/14,1.3796,0.8821,1.1212,140.882,1.217,0.9085,115.75,0.8536
3/24/14,1.384,0.8808,1.1189,141.5,1.219,0.913,116.06,0.8544
3/25/14,1.3824,0.8829,1.1158,141.387,1.2204,0.9159,115.848,0.8572
3/26/14,1.3793,0.884,1.1106,140.778,1.22,0.9231,115.376,0.8605
3/27/14,1.3744,0.8862,1.103,140.417,1.2181,0.9259,115.25,0.8674
3/28/14,1.375,0.8867,1.1062,141.368,1.2193,0.9247,115.924,0.865
3/31/14,1.3781,0.8838,1.1051,142.253,1.2178,0.927,116.773,0.8674
4/1/14,1.3793,0.8832,1.1028,143.02,1.2183,0.9244,117.386,0.8647
4/2/14,1.3762,0.8865,1.1023,142.9,1.2205,0.9243,117.077,0.8556
4/3/14,1.3715,0.8912,1.1032,142.559,1.2223,0.9228,116.616,0.8541
4/4/14,1.3705,0.891,1.098,141.518,1.2218,0.9284,115.811,0.8589
4/7/14,1.3743,0.8877,1.0965,141.762,1.2199,0.9268,116.189,0.8608
4/8/14,1.3794,0.8834,1.0922,140.274,1.2187,0.9354,115.088,0.8668
4/9/14,1.3851,0.8796,1.0869,141.253,1.2185,0.9386,115.907,0.871
4/10/14,1.3887,0.8763,1.0925,140.94,1.2169,0.9412,115.79,0.868
4/11/14,1.3882,0.8755,1.0972,141.079,1.2156,0.9397,116.04,0.8688
4/14/14,1.382,0.8795,1.0963,140.621,1.2156,0.9413,115.668,0.8675
4/15/14,1.3813,0.8802,1.0977,140.63,1.2158,0.9351,115.651,0.8641
4/16/14,1.3813,0.882,1.1017,141.288,1.2184,0.9372,115.955,0.8624
4/17/14,1.3814,0.8828,1.1009,141.517,1.22,0.9326,115.995,0.8566
4/18/14,1.3818,0.8825,1.1012,141.469,1.2197,0.9336,115.975,0.8579
4/21/14,1.3793,0.8844,1.1012,141.546,1.2205,0.9328,115.945,0.856
4/22/14,1.3804,0.8848,1.1024,141.66,1.2215,0.9366,115.91,0.8596
4/23/14,1.3816,0.883,1.1032,141.521,1.22,0.9282,115.996,0.8585
4/24/14,1.3827,0.8819,1.1026,141.464,1.2194,0.9258,115.994,0.8567
4/25/14,1.3832,0.8812,1.1035,141.326,1.2191,0.9268,115.922,0.8578
4/28/14,1.3848,0.8803,1.1019,142,1.2191,0.9257,116.47,0.8535
4/29/14,1.3811,0.8832,1.0955,141.659,1.2199,0.9273,116.094,0.8553
4/30/14,1.387,0.88,1.0951,141.69,1.2206,0.9287,116.07,0.862
5/1/14,1.3865,0.8793,1.0963,141.84,1.2191,0.9271,116.324,0.8627
5/2/14,1.387,0.8781,1.0981,141.803,1.2181,0.9267,116.391,0.8662
5/5/14,1.3876,0.8776,1.0953,141.698,1.2178,0.9272,116.349,0.8677
5/6/14,1.3928,0.874,1.0877,141.561,1.2174,0.9356,116.261,0.8752
5/7/14,1.3912,0.8757,1.0893,141.67,1.219,0.9333,116.216,0.8669
5/8/14,1.3852,0.8791,1.0823,140.667,1.2181,0.9379,115.454,0.8645
5/9/14,1.3754,0.8865,1.0898,140.02,1.2194,0.9357,114.822,0.8611
5/12/14,1.3757,0.8877,1.0894,140.55,1.2213,0.9364,115.073,0.8622
5/13/14,1.3701,0.8903,1.0907,140.108,1.2198,0.9356,114.86,0.8631
